0,1,10,75.69334888458252,1,11
4,2,52,12.848110675811768,2,52
11,1,25,12.871958017349243,1,22
10,1,42,12.340826034545898,1,42
3,2,50,12.981307029724121,2,52
8,2,20,9.74770212173462,2,20
23,2,50,12.84070897102356,2,52
9,1,42,13.059432744979858,1,42
14,0,18,10.763062715530396,0,14
21,3,30,14.106041193008423,3,31
6,0,38,12.996938228607178,0,37
1,1,17,14.652776718139648,1,15
16,2,83,10.372552633285522,2,85
19,3,30,11.606631755828857,3,29
20,3,24,12.825093030929565,3,29
2,1,18,8.951008558273315,1,15
13,0,16,15.480716228485107,0,14
22,3,30,10.497520685195923,3,31
24,2,52,13.981070041656494,2,52
5,0,40,11.325449228286743,0,37
12,1,22,11.981544494628906,1,22
18,1,10,20.260835647583008,1,10
17,1,10,16.511724710464478,1,10
7,2,20,13.731132984161377,2,20
15,2,85,10.49754023551941,2,85
