chartNumber,column,columnSize,duration,correct_column,correct_columnSize
0,1,11,2.610511064529419,1,11
1,2,65,21.026594877243042,2,66
2,2,65,18.58478307723999,2,66
3,0,100,8.809027910232544,1,100
4,0,100,27.889931201934814,1,100
5,1,85,22.568035125732422,2,89
6,1,85,51.43776297569275,2,89
7,2,40,18.268786191940308,1,40
0,1,11,9.468467950820923,4,11
0,1,11,9.489585161209106,1,11
0,1,11,8.99267292022705,1,11
1,2,65,9.6755530834198,2,66
2,2,65,11.44121503829956,2,66
3,0,100,11.97121000289917,0,100
4,0,100,12.858040809631348,0,100
5,1,85,9.496320009231567,1,89
6,1,85,4.904639005661011,1,89
7,1,40,11.303365230560303,2,40
8,2,40,10.140578746795654,2,40
9,3,58,17.61587905883789,3,57
10,3,58,12.198086023330688,3,57
11,4,6,54.821460247039795,4,49
12,4,6,3.532252073287964,4,49
0,1,87,9.539345741271973,1,11
1,2,7,2.775888681411743,2,66
21,0,78,14.572261095046997,0,75
8,2,40,18.76545810699463,2,40
10,3,58,8.391918659210205,3,57
11,4,47,10.002263069152832,4,49
13,1,78,13.702989101409912,1,75
